scheme,spearman,decile_churn
equal,0.9362499555821338,0.04639684998126064
mechanism_only,0.9193515041616299,0.09219991059293142
mechanism_heavy,0.9843162752167166,0.032791622828604844
drop_size,0.9710990283426787,0.04305085817239308
restore_c3,0.9585311444535809,0.05546624883161217
