report_date,fetched_utc,bytes,sha256,n_schemes,state_pct_filling,worst_residual_ratio,worst_residual_mcm,in_season
2026-09-12,2026-09-12T09:30:39+00:00,277422,3618E1224AE19CA558B076EB3F8707FD2286ED59477A74CD6E1B428D9B29A44E,206,65.0972,2.917e-06,,1
2026-09-11,2026-09-12T09:57:00+00:00,276237,10F4783D812B83530D6B108AC131E4B03FDA075B48778183369BF4B60B2C4C28,206,65.2874,4.848e-06,,1
2026-09-14,2026-09-15T04:18:00+00:00,278679,0A193E9421F427C2C389138D090DBBDD407637A65A77EFDA9A281468AB4E0E46,206,66.9924,2.835e-06,0.030,1
2026-09-15,2026-09-16T03:45:58+00:00,280158,F8997744FFEC57E7E955C31B8D742CADE4DB7916032AF376AEDB91EEB41CB6CC,206,68.2149,1.856e-06,0.020,1
2026-09-19,2026-09-20T09:14:03+00:00,280904,3E848557F9C28B6FA6DC3C577A19F2208A602F4E2B8510875AD39DBCD55292DB,206,70.4867,7.184e-06,0.080,1
2026-09-20,2026-09-21T04:25:34+00:00,277512,30D8857BA56EFEF56A35A8F43C285EA293F80A2223A308F981671357BD577E45,206,70.8789,8.931e-07,0.010,1
2026-09-21,2026-09-22T04:14:52+00:00,279383,05E9F6EC73E893EACD82655DB52615AD27E62DCBEFA4E20CDD4D8535FCC88C8D,206,71.2454,1.777e-06,0.020,1
